Dataset,Total_Files,Whole_Files,Split_Files,Avg_Chunks_Per_File,Accuracy,Precision,Recall,F1_Score,Mean_Drone_Prob,Std_Drone_Prob,Threshold,Description
H-2,3061,3061,0,1.00,1.0000,1.0000,1.0000,1.0000,0.080254,0.037567,0.277000,All drone samples
Fusion,94108,94103,5,1.00,0.0707,0.3254,0.0535,0.0920,0.610436,0.279064,0.277000,Mixed dataset with folder structure
DronePrint,12,12,0,1.00,1.0000,1.0000,1.0000,1.0000,0.075646,0.028902,0.277000,All drone samples
Tapio,27,24,3,1.41,0.8519,0.8846,0.9583,0.9200,0.069360,0.070949,0.277000,Mixed dataset with folder structure
S&E,56,56,0,1.00,0.3571,0.3455,1.0000,0.5135,0.101337,0.065742,0.277000,Mixed dataset with folder structure
Emo,370,370,0,1.00,0.0486,0.0000,0.0000,0.0000,0.156166,0.039577,0.277000,All environmental sounds
ESC-50,1674,1674,0,1.00,0.3489,0.0000,0.0000,0.0000,0.251963,0.316954,0.277000,All environmental sounds
UrbanSound,8324,8324,0,1.00,0.1783,0.0000,0.0000,0.0000,0.131309,0.283904,0.277000,All urban sounds
WonjunYi,78966,78966,0,1.00,0.0151,1.0000,0.0151,0.0298,0.698350,0.176431,0.277000,All drone samples
CalibrationDataset,1618,1616,2,1.01,0.1601,0.1200,0.1893,0.1469,0.293099,0.318850,0.277000,Mixed dataset with folder structure
